#EXPORTTYPE:                 ,DATA COMPARE                   
#FILE:                       ,LG.ngb-st9                     
#FORMAT:                     ,NETZSCH5                       
#FTYPE:                      ,ANSI                           
#IDENTITY:                   ,Saras                          
#DECIMAL:                    ,POINT                          
#SEPARATOR:                  ,COMMA                          
#MTYPE:                      ,TG                             
#INSTRUMENT:                 ,NETZSCH TG 209F1 Libra         
#PROJECT:                    ,PM                             
#DATE/TIME:                  ,15/01/2018 10:13:45 AM (UTC+11)
#CORR. FILE:                 ,                               
#TEMPCAL:                    ,TCALZERO.TCX                   
#LABORATORY:                 ,Capture Lab                    
#OPERATOR:                   ,Frank                          
#REMARK:                     ,                               
#SAMPLE:                     ,LG                             
#SAMPLE MASS /mg:            ,17.9379                        
#MATERIAL:                   ,zeolite                        
#TYPE OF CRUCIBLE:           ,Al2O3                          
#SAMPLE CRUCIBLE MASS /mg:   ,167.6485                       
#REFERENCE CRUCIBLE MASS /mg:,                               
#M.RANGE /mg:                ,2000                           
#CORR. CODE:                 ,090                            
#RANGE:                      ,32°C/10.0(K/min)/900°C         
#SEGMENT:                    ,S1/1                           
#SEG. 1:                     ,32°C/10.0(K/min)/900°C         

##Temp./°C,Mass loss/mg
 68.89800,      -0.14228
 68.99800,      -0.14316
 69.09800,      -0.14406
 69.19800,      -0.14505
 69.29800,      -0.14564
 69.39800,      -0.14664
 69.49800,      -0.14734
 69.59800,      -0.14812
 69.69800,      -0.14901
 69.79800,      -0.14959
 69.89800,      -0.15051
 69.99800,      -0.15116
 70.09800,      -0.15197
 70.19800,      -0.15272
 70.29800,      -0.15361
 70.39800,      -0.15432
 70.49800,      -0.15512
 70.59800,      -0.15579
 70.69800,      -0.15668
 70.79800,      -0.15734
 70.89800,      -0.15815
 70.99800,      -0.15879
 71.09800,      -0.15967
 71.19800,      -0.16024
 71.29800,      -0.16097
 71.39800,      -0.16175
 71.49800,      -0.16263
 71.59800,      -0.16333
 71.69800,      -0.16413
 71.79800,      -0.16482
 71.89800,      -0.16563
 71.99800,      -0.16632
 72.09800,      -0.16724
 72.19800,      -0.16793
 72.29800,      -0.16875
 72.39800,      -0.16944
 72.49800,      -0.17036
 72.59800,      -0.17093
 72.69800,      -0.17190
 72.79800,      -0.17246
 72.89800,      -0.17327
 72.99800,      -0.17396
 73.09800,      -0.17477
 73.19800,      -0.17546
 73.29800,      -0.17628
 73.39800,      -0.17696
 73.49800,      -0.17776
 73.59800,      -0.17836
 73.69800,      -0.17915
 73.79800,      -0.17986
 73.89800,      -0.18067
 73.99800,      -0.18135
 74.09800,      -0.18215
 74.19800,      -0.18274
 74.29800,      -0.18344
 74.39800,      -0.18425
 74.49800,      -0.18494
 74.59800,      -0.18566
 74.69800,      -0.18636
 74.79800,      -0.18717
 74.89800,      -0.18787
 74.99800,      -0.18867
 75.09800,      -0.18940
 75.19800,      -0.19020
 75.29800,      -0.19098
 75.39800,      -0.19179
 75.49800,      -0.19247
 75.59800,      -0.19330
 75.69800,      -0.19398
 75.79800,      -0.19468
 75.89800,      -0.19538
 75.99800,      -0.19597
 76.09800,      -0.19679
 76.19800,      -0.19739
 76.29800,      -0.19797
 76.39800,      -0.19878
 76.49800,      -0.19947
 76.59800,      -0.20017
 76.69800,      -0.20077
 76.79800,      -0.20135
 76.89800,      -0.20197
 76.99800,      -0.20245
 77.09800,      -0.20296
 77.19800,      -0.20365
 77.29800,      -0.20427
 77.39800,      -0.20496
 77.49800,      -0.20573
 77.59800,      -0.20665
 77.69800,      -0.20742
 77.79800,      -0.20822
 77.89800,      -0.20894
 77.99800,      -0.20974
 78.09800,      -0.21041
 78.19800,      -0.21103
 78.29800,      -0.21181
 78.39800,      -0.21236
 78.49800,      -0.21330
 78.59800,      -0.21383
 78.69800,      -0.21453
 78.79800,      -0.21526
 78.89800,      -0.21604
 78.99800,      -0.21698
 79.09800,      -0.21777
 79.19800,      -0.21870
 79.29800,      -0.21950
 79.39800,      -0.22029
 79.49800,      -0.22121
 79.59800,      -0.22188
 79.69800,      -0.22269
 79.79800,      -0.22339
 79.89800,      -0.22418
 79.99800,      -0.22478
 80.09800,      -0.22548
 80.19800,      -0.22618
 80.29800,      -0.22677
 80.39800,      -0.22736
 80.49800,      -0.22796
 80.59800,      -0.22847
 80.69800,      -0.22911
 80.79800,      -0.22963
 80.89800,      -0.23023
 80.99800,      -0.23083
 81.09800,      -0.23140
 81.19800,      -0.23195
 81.29800,      -0.23261
 81.39800,      -0.23310
 81.49800,      -0.23368
 81.59800,      -0.23423
 81.69800,      -0.23479
 81.79800,      -0.23532
 81.89800,      -0.23586
 81.99800,      -0.23641
 82.09800,      -0.23692
 82.19800,      -0.23749
 82.29800,      -0.23803
 82.39800,      -0.23854
 82.49800,      -0.23924
 82.59800,      -0.23979
 82.69800,      -0.24039
 82.79800,      -0.24100
 82.89800,      -0.24153
 82.99800,      -0.24218
 83.09800,      -0.24278
 83.19800,      -0.24348
 83.29800,      -0.24418
 83.39800,      -0.24477
 83.49800,      -0.24535
 83.59800,      -0.24625
 83.69800,      -0.24685
 83.79800,      -0.24746
 83.89800,      -0.24794
 83.99800,      -0.24844
 84.09800,      -0.24925
 84.19800,      -0.24965
 84.29800,      -0.25035
 84.39800,      -0.25093
 84.49800,      -0.25163
 84.59800,      -0.25224
 84.69800,      -0.25284
 84.79800,      -0.25333
 84.89800,      -0.25393
 84.99800,      -0.25443
 85.09800,      -0.25509
 85.19800,      -0.25562
 85.29800,      -0.25630
 85.39800,      -0.25682
 85.49800,      -0.25739
 85.59800,      -0.25807
 85.69800,      -0.25868
 85.79800,      -0.25930
 85.89800,      -0.25988
 85.99800,      -0.26041
 86.09800,      -0.26108
 86.19800,      -0.26158
 86.29800,      -0.26213
 86.39800,      -0.26267
 86.49800,      -0.26318
 86.59800,      -0.26368
 86.69800,      -0.26412
 86.79800,      -0.26457
 86.89800,      -0.26489
 86.99800,      -0.26521
 87.09800,      -0.26562
 87.19800,      -0.26591
 87.29800,      -0.26621
 87.39800,      -0.26651
 87.49800,      -0.26681
 87.59800,      -0.26703
 87.69800,      -0.26731
 87.79800,      -0.26755
 87.89800,      -0.26798
 87.99800,      -0.26835
 88.09800,      -0.26892
 88.19800,      -0.26941
 88.29800,      -0.27021
 88.39800,      -0.27063
 88.49800,      -0.27128
 88.59800,      -0.27189
 88.69800,      -0.27259
 88.79800,      -0.27307
 88.89800,      -0.27367
 88.99800,      -0.27416
 89.09800,      -0.27465
 89.19800,      -0.27516
 89.29800,      -0.27566
 89.39800,      -0.27606
 89.49800,      -0.27656
 89.59800,      -0.27707
 89.69800,      -0.27756
 89.79800,      -0.27807
 89.89800,      -0.27867
 89.99800,      -0.27917
 90.09800,      -0.27973
 90.19800,      -0.28023
 90.29800,      -0.28108
 90.39800,      -0.28156
 90.49800,      -0.28206
 90.59800,      -0.28255
 90.69800,      -0.28305
 90.79800,      -0.28356
 90.89800,      -0.28406
 90.99800,      -0.28454
 91.09800,      -0.28505
 91.19800,      -0.28533
 91.29800,      -0.28583
 91.39800,      -0.28624
 91.49800,      -0.28675
 91.59800,      -0.28713
 91.69800,      -0.28762
 91.79800,      -0.28802
 91.89800,      -0.28852
 91.99800,      -0.28904
 92.09800,      -0.28953
 92.19800,      -0.28980
 92.29800,      -0.29031
 92.39800,      -0.29061
 92.49800,      -0.29119
 92.59800,      -0.29153
 92.69800,      -0.29179
 92.79800,      -0.29215
 92.89800,      -0.29236
 92.99800,      -0.29261
 93.09800,      -0.29271
 93.19800,      -0.29313
 93.29800,      -0.29326
 93.39800,      -0.29332
 93.49800,      -0.29366
 93.59800,      -0.29380
 93.69800,      -0.29391
 93.79800,      -0.29410
 93.89800,      -0.29426
 93.99800,      -0.29449
 94.09800,      -0.29466
 94.19800,      -0.29498
 94.29800,      -0.29522
 94.39800,      -0.29548
 94.49800,      -0.29575
 94.59800,      -0.29605
 94.69800,      -0.29644
 94.79800,      -0.29673
 94.89800,      -0.29714
 94.99800,      -0.29755
 95.09800,      -0.29796
 95.19800,      -0.29825
 95.29800,      -0.29875
 95.39800,      -0.29916
 95.49800,      -0.29955
 95.59800,      -0.29997
 95.69800,      -0.30015
 95.79800,      -0.30057
 95.89800,      -0.30099
 95.99800,      -0.30108
 96.09800,      -0.30157
 96.19800,      -0.30167
 96.29800,      -0.30216
 96.39800,      -0.30246
 96.49800,      -0.30276
 96.59800,      -0.30306
 96.69800,      -0.30353
 96.79800,      -0.30376
 96.89800,      -0.30426
 96.99800,      -0.30465
 97.09800,      -0.30503
 97.19800,      -0.30544
 97.29800,      -0.30575
 97.39800,      -0.30614
 97.49800,      -0.30665
 97.59800,      -0.30704
 97.69800,      -0.30741
 97.79800,      -0.30774
 97.89800,      -0.30814
 97.99800,      -0.30854
 98.09800,      -0.30889
 98.19800,      -0.30923
 98.29800,      -0.30965
 98.39800,      -0.30996
 98.49800,      -0.31013
 98.59800,      -0.31055
 98.69800,      -0.31063
 98.79800,      -0.31095
 98.89800,      -0.31101
 98.99800,      -0.31145
 99.09800,      -0.31152
 99.19800,      -0.31173
 99.29800,      -0.31202
 99.39800,      -0.31224
 99.49800,      -0.31252
 99.59800,      -0.31273
 99.69800,      -0.31301
 99.79800,      -0.31346
 99.89800,      -0.31352
 99.99800,      -0.31396
100.09800,      -0.31402
100.19800,      -0.31425
100.29800,      -0.31451
100.39800,      -0.31473
100.49800,      -0.31503
100.59800,      -0.31524
100.69800,      -0.31542
100.79800,      -0.31564
100.89800,      -0.31593
100.99800,      -0.31615
101.09800,      -0.31644
101.19800,      -0.31676
101.29800,      -0.31695
101.39800,      -0.31727
101.49800,      -0.31743
101.59800,      -0.31776
101.69800,      -0.31806
101.79800,      -0.31828
101.89800,      -0.31856
101.99800,      -0.31878
102.09800,      -0.31906
102.19800,      -0.31951
102.29800,      -0.31957
102.39800,      -0.31980
102.49800,      -0.32008
102.59800,      -0.32052
102.69800,      -0.32059
102.79800,      -0.32081
102.89800,      -0.32108
102.99800,      -0.32129
103.09800,      -0.32152
103.19800,      -0.32179
103.29800,      -0.32202
103.39800,      -0.32220
103.49800,      -0.32252
103.59800,      -0.32270
103.69800,      -0.32302
103.79800,      -0.32321
103.89800,      -0.32352
103.99800,      -0.32377
104.09800,      -0.32410
104.19800,      -0.32432
104.29800,      -0.32461
104.39800,      -0.32486
104.49800,      -0.32510
104.59800,      -0.32522
104.69800,      -0.32550
104.79800,      -0.32573
104.89800,      -0.32599
104.99800,      -0.32614
105.09800,      -0.32651
105.19800,      -0.32663
105.29800,      -0.32700
105.39800,      -0.32713
105.49800,      -0.32731
105.59800,      -0.32763
105.69800,      -0.32801
105.79800,      -0.32815
105.89800,      -0.32850
105.99800,      -0.32868
106.09800,      -0.32901
106.19800,      -0.32924
106.29800,      -0.32951
106.39800,      -0.32983
106.49800,      -0.33011
106.59800,      -0.33031
106.69800,      -0.33060
106.79800,      -0.33088
106.89800,      -0.33121
106.99800,      -0.33143
107.09800,      -0.33171
107.19800,      -0.33205
107.29800,      -0.33229
107.39800,      -0.33272
107.49800,      -0.33290
107.59800,      -0.33320
107.69800,      -0.33362
107.79800,      -0.33366
107.89800,      -0.33410
107.99800,      -0.33454
108.09800,      -0.33458
108.19800,      -0.33501
108.29800,      -0.33518
108.39800,      -0.33551
108.49800,      -0.33556
108.59800,      -0.33599
108.69800,      -0.33608
108.79800,      -0.33650
108.89800,      -0.33658
108.99800,      -0.33678
109.09800,      -0.33707
109.19800,      -0.33750
109.29800,      -0.33757
109.39800,      -0.33798
109.49800,      -0.33807
109.59800,      -0.33849
109.69800,      -0.33858
109.79800,      -0.33878
109.89800,      -0.33907
109.99800,      -0.33928
110.09800,      -0.33946
110.19800,      -0.33977
110.29800,      -0.33997
110.39800,      -0.34028
110.49800,      -0.34047
110.59800,      -0.34068
110.69800,      -0.34076
110.79800,      -0.34118
110.89800,      -0.34127
110.99800,      -0.34158
111.09800,      -0.34175
111.19800,      -0.34217
